id,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,grammar_type,difficulty_level,created_at,updated_at
ad7b12ba-d967-4ce3-8e89-0ebdd1085443,I usually drink tea _____ the morning.,at,in,for,to,A,"정답은 A입니다. 'at'은 특정 시간(시간)을 나타내는 전치사입니다. B 'in'은 기간이나 시간을 나타냅니다. C 'for'는 시간의 지속을 나타냅니다. D 'to'는 목적을 나타냅니다. 예시: ‘I drink tea at 8 o’clock.’, ‘I drink tea for an hour.’",Prepositions,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
0d201915-4c9b-4a9c-9569-c16a79f4789c,Please put the keys _____ your bag.,in,on,at,under,A,"정답은 A입니다. 'in'은 일반적으로 공간의 안쪽에 있는 것을 나타냅니다. B 'on'은 표면 위에 있는 것을 나타냅니다. C 'at'은 특정 지점이나 위치를 나타냅니다. D 'under'는 아래에 있는 것을 나타냅니다. 예시: ‘Put the keys in your bag.’, ‘The book is in the box.’",Prepositions,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
ca3881e0-4c01-45f0-9697-ca94204fbbe5,The children are playing _____ the park.,in,on,at,under,A,"정답은 A입니다. 'in'은 일반적으로 공간의 안쪽에 있는 것을 나타냅니다. B 'on'은 표면 위에 있는 것을 나타냅니다. C 'at'은 특정 지점이나 위치를 나타냅니다. D 'under'는 아래에 있는 것을 나타냅니다. 예시: ‘The children are playing in the park.’, ‘The cat is playing in the garden.’",Prepositions,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
09a6f872-07ca-459e-9bc6-40fb1f5d1ce1,She _____ to school every day.,go,goes,going,gone,B,"정답은 B입니다. 'She'는 3인칭 단수 주어이므로, 현재시제 동사에는 '-s'를 붙여 'goes'를 사용합니다. A 'go'는 1인칭, 2인칭, 복수주어에 사용됩니다. C 'going'은 현재진행형이나 동명사로 사용되어 여기서는 부적절합니다. D 'gone'은 과거분사로 완료시제에 사용됩니다. 예시: 'He goes to work by bus.', 'They go home together.'",Conjunctions,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
244fd4cb-3b34-47ff-9210-4e73f3f37d23,I _____ a book now. It's very interesting.,read,am reading,reads,reading,D,"정답은 D입니다. 현재진행형은 현재 시제에서 동작의 진행 상태를 나타냅니다. 'I'는 1인칭 단수 주어이므로, 현재진행형 동사에는 'am'을 붙여 'reading'을 사용합니다. A 'read'는 단순 과거형입니다. B 'reads'는 3인칭 단수 주어에 사용됩니다. C 'am reading'은 현재진행형이지만, 문맥상 단순 과거형이 더 적절합니다. 예시: 'She is reading a newspaper.', 'They are watching TV.'",Conjunctions,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
b89fc15b-1b63-4626-95de-857eb2b01f15,He said that he _____ to the party.,go,goes,went,going,C,"정답은 C입니다. 'said that' 뒤에는 과거 시제 형태가 사용됩니다. 따라서, 'he'에 해당하는 주어 역시 과거 시제로 진행되어 'went'를 사용합니다. A 'go'는 현재 및 미래 시제입니다. B 'goes'는 3인칭 단수 주어에 사용됩니다. D 'going'은 현재진행형이나 동명사로 사용되어 부적절합니다. 예시: 'He said that he went to the store yesterday.', 'She said that she was going to school.'",Conjunctions,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
de9a6944-92af-451a-bdf3-e2bf573527c6,We _____ dinner now. My mother is cooking it.,eat,are eating,ate,eating,D,"정답은 D입니다. 'We'는 1인칭 복수 주어이므로, 현재진행형 동사에는 'am'을 붙여 'are eating'을 사용합니다. A 'eat'는 단순 현재형입니다. B 'ate'는 과거형입니다. C 'are eating'은 현재진행형이지만, 문맥상 단순 현재형이 더 적절합니다. 예시: 'They are eating pizza.', 'We are eating noodles.'",Conjunctions,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
3efb4de7-c234-476c-b3fa-b7e5b3e25da7,"If it _____ rain, we will stay at home.",rain,rains,rained,raining,B,"정답은 B입니다. 가정법 현재진행형은 현재 시제에서 가정이나 습관적인 상황을 나타냅니다. 'If' 절에는 현재진행형 동사 형태를 사용합니다. A 'rain'은 단순 현재형입니다. C 'rained'는 과거형입니다. D 'raining'은 현재진행형입니다. 예시: 'If it rains, we will stay at home.', 'If she studies hard, she will pass the exam.'",Conjunctions,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
9bbd24c1-9c3e-4f77-b1a3-624436a98dbb,She _____ to school every day.,go,goes,going,gone,B,"정답은 B입니다. 'She'는 3인칭 단수 주어이므로, 현재시제에서 동사에는 '-s' 또는 '-es'를 붙여 'goes'로 사용합니다. A 'go'는 1인칭, 2인칭, 복수주어에 사용됩니다. C 'going'은 현재진행형이나 동명사로 사용되어 여기서는 부적절합니다. D 'gone'은 과거분사로 완료시제에 사용됩니다. 예시: 'He goes to work by bus.', 'They go home together.'",Modal Verbs,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
b6457b0d-b914-43de-b5b0-753a766cdfd0,I _____ a book now.,am read,read,am reading,reads,C,"정답은 C입니다. 'am reading'은 현재진행형으로, 지금 이 순간 '읽고 있다'는 의미를 나타냅니다. A 'read'는 단순 과거 시제 또는 과거분사로 사용됩니다. B 'read'는 1인칭, 2인칭, 복수주어에 사용됩니다. D 'reads'는 3인칭 단수 주어에 사용됩니다. 예시: 'I am reading a book.', 'She is reading the newspaper.'",Modal Verbs,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
ad4da64c-6a7b-4ca4-93a1-a0ac321db116,They _____ to the park every Sunday.,go,goes,went,going,B,"정답은 B입니다. 'They'는 복수 주어이므로, 현재시제 동사에는 '-s' 또는 '-es'를 붙여 'goes'로 사용합니다. A 'go'는 1인칭, 2인칭, 복수주어에 사용됩니다. C 'went'는 과거시제입니다. D 'going'은 현재진행형이나 동명사로 사용되어 여기서는 부적절합니다. 예시: 'He goes to work by bus.', 'They go home together.'",Modal Verbs,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
9fb1be71-f52a-4ce2-a8bd-6874da971bbc,He _____ tired after a long day.,is,are,were,be,B,"정답은 B입니다. 'He'는 3인칭 단수 주어이므로, 현재시제에서 동사에는 '-s' 또는 '-es'를 붙여 'are'로 사용합니다. A 'is'는 1인칭, 2인칭, 복수주어에 사용됩니다. C 'were'는 과거시제입니다. D 'be'는 불완전한 형태의 동사로 사용되어 여기서는 부적절합니다. 예시: 'He goes to work by bus.', 'They go home together.'",Modal Verbs,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
021cf80d-da3e-4c33-8295-633dd17f1d73,We _____ happy to see you!,is,are,am,be,B,"정답은 B입니다. 'We'는 복수 주어이므로, 현재시제 동사에는 '-s' 또는 '-es'를 붙여 'are'로 사용합니다. A 'is'는 1인칭, 2인칭, 복수주어에 사용됩니다. C 'am'은 1인칭 단수 주어에만 사용됩니다. D 'be'는 불완전한 형태의 동사로 사용되어 여기서는 부적절합니다. 예시: 'He goes to work by bus.', 'They go home together.'",Modal Verbs,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
